case_id,task_flow_id,mobile_ia_surface,journey_name,user_persona,device,viewport,assistive_tech,theme,entry_url,step_sequence,expected_terminal_state,actual_task_completed,rationale_task_completed,actual_navigation_clear,rationale_navigation_clear,actual_artifact_discoverable,rationale_artifact_discoverable,actual_thread_to_artifact_transition_clear,rationale_thread_to_artifact_transition_clear,actual_a11y_blocker_absent,rationale_a11y_blocker_absent,actual_keyboard_composer_usable,rationale_keyboard_composer_usable,actual_reduced_motion_respected,rationale_reduced_motion_respected,actual_contrast_ok_both_themes,rationale_contrast_ok_both_themes,actual_touch_targets_sufficient,rationale_touch_targets_sufficient,overall_ux_gate_pass,overall_ux_gate_rationale
U01,TF01_cold_start,Home,Open app cold and understand where to start,first_timer_signed_out,iphone_safari,390x844,none,dark,/,"cold open; read hero; identify primary action within 5 seconds; tap into Chat or Home sample","user reaches a primary action within 10 seconds without confusion",,,,,,,,,,,,,,,,,,,,
U02,TF02_quick_company_ask,Chat,Ask about a company quickly from Chat,founder_conference,iphone_safari,390x844,none,dark,/chat,"open Chat; type 'tell me about stripe'; submit; read cited answer; tap escalate CTA","cited fast answer rendered; escalate CTA visible and reachable",,,,,,,,,,,,,,,,,,,,
U03,TF03_ambiguous_prompt,Chat,Handle ambiguous prompt like Vitalize,power_user,iphone_safari,390x844,none,dark,/chat,"type 'tell me about Vitalize'; submit; see disambiguation candidates; tap the right one","disambiguation candidates shown before canonical save; user completes selection",,,,,,,,,,,,,,,,,,,,
U04,TF04_open_artifact,Reports,Open resulting artifact from a chat run,returning_user,iphone_safari,390x844,none,dark,/chat,"from completed chat run tap 'Open report'; artifact loads in Reports","artifact opens in Reports tab with all sections rendered; no blank screen",,,,,,,,,,,,,,,,,,,,
U05,TF05_notebook_report_switch,Reports,Switch Notebook to Report in artifact,returning_user,iphone_safari,390x844,none,dark,/report/abc,"inside artifact toggle Notebook tab then Report tab; content differs but stays grounded in same claims","both views load within budget; switching preserves scroll position per tab; headers indicate current mode",,,,,,,,,,,,,,,,,,,,
U06,TF06_thread_tabs,Chat,Navigate thread detail tabs (Conversation, Steps, Artifacts, Files),power_user,iphone_safari,390x844,none,dark,/thread/def,"tap each of 4 tabs; confirm content changes; return to Conversation","each tab reachable; active tab indicated; tabs have accessible names",,,,,,,,,,,,,,,,,,,,
U07,TF07_steps_understanding,Chat,Open Steps and understand current run,founder_diligence,iphone_safari,390x844,none,dark,/thread/ghi,"open Steps tab mid-run; read current step; see estimated remaining time","current step, completed steps, and remaining budget visible without needing jargon decoder",,,,,,,,,,,,,,,,,,,,
U08,TF08_files_open,Chat,Open Files tab and view attached file,returning_user,iphone_safari,390x844,none,dark,/thread/jkl,"tap Files tab; preview attached PDF","file list visible; preview loads; no broken thumbnails; delete affordance reachable",,,,,,,,,,,,,,,,,,,,
U09,TF09_inbox_triage,Inbox,Distinguish Action Required from Updates,power_user,iphone_safari,390x844,none,dark,/inbox,"open Inbox; scan top items; tap one Action Required and one Update","sections clearly labeled; status communicated via icon + text not color alone; taps route to the right surface",,,,,,,,,,,,,,,,,,,,
U10,TF10_pulse_daily_brief,Home,Open Pulse / daily brief,returning_user,iphone_safari,390x844,none,dark,/,"open Home; tap 'Today' pulse card","pulse page renders with date-stamped summaries; each with source link; mode badge visible",,,,,,,,,,,,,,,,,,,,
