case_id,load_profile,scenario_name,user_count,duration_minutes,session_mix,entity_overlap_rate,text_overlap_rate,private_vs_public_mix,fast_vs_slow_mix,expected_cache_scope,expected_singleflight_hits,expected_coalescing,latency_budget_p95_ms,cost_budget_usd_total,actual_shared_public_cache_hit_rate,rationale_shared_public_cache_hit_rate,actual_singleflight_suppression,rationale_singleflight_suppression,actual_coalesced_run_attach_count,rationale_coalesced_run_attach_count,actual_time_to_first_useful_answer_p95,rationale_time_to_first_useful_answer_p95,actual_queue_wait_time_p95,rationale_queue_wait_time_p95,actual_cross_scope_leak_absent,rationale_cross_scope_leak_absent,actual_private_source_not_exposed,rationale_private_source_not_exposed,actual_cost_per_hot_entity_declining,rationale_cost_per_hot_entity_declining,actual_honest_backoff_under_burst,rationale_honest_backoff_under_burst,actual_fast_not_blocked_by_slow,rationale_fast_not_blocked_by_slow,overall_load_gate_pass,overall_load_gate_rationale
L01,P1_conference_hot_burst,Ten hot entities 100 users,100,10,"100% fast; single-turn",0.9,0.4,"95% public / 5% private",100/0,"CSL+ESL shared; USL private",>=95%,not_applicable,2000,5.00,,,,,,,,,,,,,,,,,,,,,,,,
L02,P1_conference_hot_burst,Single hot entity 100 users similar queries,100,5,"100% fast; varied phrasings",1.0,0.6,"100% public",100/0,"CSL+ESL dominate",>=99%,not_applicable,1500,2.00,,,,,,,,,,,,,,,,,,,,,,,,
L03,P1_conference_hot_burst,Hot burst with 5% private file references,100,10,"90% fast public; 10% fast with user-attached file",0.85,0.35,"85% public / 15% private-file",100/0,"CSL+ESL for public; USL+file for private",>=90%,not_applicable,2500,6.00,,,,,,,,,,,,,,,,,,,,,,,,
L04,P1_conference_hot_burst,Concurrent signed-out share-link viewers,200,10,"viewer-only; no chat",1.0,1.0,"100% public report",0/0,"edge-cached report HTML",>=99%,not_applicable,800,0.50,,,,,,,,,,,,,,,,,,,,,,,,
L05,P2_mixed_fast,Mixed fast lane baseline,100,15,"70% fast new; 20% followup reusing scratchpad; 10% artifact reopen",0.4,0.2,"80% public / 20% private-thread",100/0,"USL first then CSL+ESL",>=70%,not_applicable,2000,8.00,,,,,,,,,,,,,,,,,,,,,,,,
L06,P2_mixed_fast,Followup-heavy session,100,20,"20% fast new; 70% followup; 10% artifact reuse",0.2,0.1,"90% private-thread scratchpad",100/0,"USL dominates; zero external for followups","n/a (low shared)",>=70% followups reuse scratchpad,1500,3.00,,,,,,,,,,,,,,,,,,,,,,,,
L07,P2_mixed_fast,Artifact-reuse heavy,100,15,"30% fast new; 20% followup; 50% artifact reopen",0.3,0.0,"100% private-artifact",0/0,"USL dominates; zero external",n/a,"100% artifact-first hit",1500,1.50,,,,,,,,,,,,,,,,,,,,,,,,
L08,P3_mixed_deep,Deep runs on overlapping themes,100,60,"70% fast; 30% slow over overlapping entities",0.6,0.3,"90% public / 10% private",70/30,"CSL+ESL shared across deep; per-user USL",>=60% per-worker hits,">=10 coalesced runs",10000,60.00,,,,,,,,,,,,,,,,,,,,,,,,
L09,P3_mixed_deep,Identical deep-research query coalesced,25,30,"100% same deep-research prompt across users",1.0,1.0,"100% public",0/100,"single deep run multi-viewer",n/a,"25 viewers on 1 run",8000,3.00,,,,,,,,,,,,,,,,,,,,,,,,
L10,P3_mixed_deep,Deep runs with collaborative planning,20,45,"100% slow with Gemini Deep Research collaborative_planning=true",0.5,0.2,"90% public / 10% private",0/100,"plan persisted; execution reuses CSL",>=50%,no coalescing (plans vary),12000,80.00,,,,,,,,,,,,,,,,,,,,,,,,
